"nome","linguagem","total_pr_aceitas","total_releases","data_coleta"
"d3/d3","Shell",495,194,"2026-08-19T14:04:57.322Z"
"immich-app/immich","TypeScript",10028,305,"2026-08-19T14:04:57.322Z"
"jaywcjlove/awesome-mac","Swift",1245,15,"2026-08-19T14:04:57.322Z"
"tauri-apps/tauri","Rust",5674,0,"2026-08-19T14:04:57.322Z"
"microsoft/TypeScript","TypeScript",14893,217,"2026-08-19T14:04:57.322Z"
"harry0703/MoneyPrinterTurbo","Python",203,17,"2026-08-19T14:04:57.322Z"
"browser-use/browser-use","Python",1896,135,"2026-08-19T14:04:57.322Z"
"VoltAgent/awesome-design-md","N/A",6,0,"2026-08-19T14:04:57.322Z"
"axios/axios","JavaScript",1481,123,"2026-08-19T14:04:57.322Z"
"fatedier/frp","Go",861,116,"2026-08-19T14:04:57.322Z"
"papers-we-love/papers-we-love","Shell",444,0,"2026-08-19T14:04:57.322Z"
"denoland/deno","Rust",16462,388,"2026-08-19T14:04:57.322Z"
"Graphify-Labs/graphify","Python",135,193,"2026-08-19T14:04:57.322Z"
"supabase/supabase","TypeScript",18687,30,"2026-08-19T14:04:57.322Z"
"openai/whisper","Python",122,13,"2026-08-19T14:04:57.322Z"
"openai/codex","Rust",9625,996,"2026-08-19T14:04:57.322Z"
"google-gemini/gemini-cli","TypeScript",6657,589,"2026-08-19T14:04:57.322Z"
"DietrichGebert/ponytail","JavaScript",174,15,"2026-08-19T14:04:57.322Z"
"goldbergyoni/nodebestpractices","Dockerfile",766,0,"2026-08-19T14:04:57.322Z"
"microsoft/terminal","C++",4521,156,"2026-08-19T14:04:57.322Z"
"deepseek-ai/DeepSeek-V3","Python",25,1,"2026-08-19T14:04:57.322Z"
"react/create-react-app","JavaScript",1949,83,"2026-08-19T14:04:57.322Z"
"rasbt/LLMs-from-scratch","Jupyter Notebook",507,0,"2026-08-19T14:04:57.322Z"
"pytorch/pytorch","Python",6596,68,"2026-08-19T14:04:57.322Z"
"Anduin2017/HowToCook","N/A",645,5,"2026-08-19T14:04:57.322Z"
"neovim/neovim","Vim Script",19664,54,"2026-08-19T14:04:57.322Z"
"fastapi/fastapi","Python",3569,300,"2026-08-19T14:04:57.322Z"
"angular/angular","TypeScript",7365,689,"2026-08-19T14:04:57.322Z"
"ruanyf/weekly","N/A",120,0,"2026-08-19T14:04:57.322Z"
"mtdvio/every-programmer-should-know","N/A",109,0,"2026-08-19T14:04:57.322Z"
"JuliusBrussee/caveman","Go",59,22,"2026-08-19T14:04:57.322Z"
"ant-design/ant-design","TypeScript",18240,759,"2026-08-19T14:04:57.322Z"
"TauricResearch/TradingAgents","Python",27,8,"2026-08-19T14:04:57.322Z"
"mui/material-ui","JavaScript",22177,572,"2026-08-19T14:04:57.322Z"
"nvbn/thefuck","Python",482,17,"2026-08-19T14:04:57.322Z"
"tailwindlabs/tailwindcss","TypeScript",3476,307,"2026-08-19T14:04:57.322Z"
"florinpop17/app-ideas","N/A",151,0,"2026-08-19T14:04:57.322Z"
"microsoft/Web-Dev-For-Beginners","JavaScript",689,0,"2026-08-19T14:04:57.322Z"
"hacksider/Deep-Live-Cam","Python",122,13,"2026-08-19T14:04:57.322Z"
