"nome","linguagem","total_pr_aceitas","total_releases","data_coleta"
"PatrickJS/awesome-cursorrules","JavaScript",101,0,"2026-08-19T14:04:57.322Z"
"GyulyVGC/sniffnet","Rust",547,18,"2026-08-19T14:04:57.322Z"
"chakra-ui/chakra-ui","TypeScript",3018,1000,"2026-08-19T14:04:57.322Z"
"trpc/trpc","TypeScript",3924,239,"2026-08-19T14:04:57.322Z"
"ToolJet/ToolJet","JavaScript",9084,596,"2026-08-19T14:04:57.322Z"
"pingcap/tidb","Go",36059,215,"2026-08-19T14:04:57.322Z"
"duckdb/duckdb","C++",11661,63,"2026-08-19T14:04:57.322Z"
"wg/wrk","C",0,0,"2026-08-19T14:04:57.322Z"
"LizardByte/Sunshine","C++",2120,46,"2026-08-19T14:04:57.322Z"
"php/php-src","C",5543,60,"2026-08-19T14:04:57.322Z"
"nushell/nushell","Rust",9111,124,"2026-08-19T14:04:57.322Z"
"CorentinTh/it-tools","Vue",493,10,"2026-08-19T14:04:57.322Z"
"ManimCommunity/manim","Python",2129,34,"2026-08-19T14:04:57.322Z"
"outline/outline","TypeScript",5251,166,"2026-08-19T14:04:57.322Z"
"phaserjs/phaser","JavaScript",1746,178,"2026-08-19T14:04:57.322Z"
"microsoft/BitNet","C++",34,0,"2026-08-19T14:04:57.322Z"
"photoprism/photoprism","Go",959,83,"2026-08-19T14:04:57.322Z"
"gofiber/fiber","Go",2421,142,"2026-08-19T14:04:57.322Z"
"google-research/bert","Python",32,0,"2026-08-19T14:04:57.322Z"
"langchain-ai/langgraph","Python",3909,559,"2026-08-19T14:04:57.322Z"
"evanw/esbuild","Go",263,315,"2026-08-19T14:04:57.322Z"
"Kong/insomnia","TypeScript",4220,561,"2026-08-19T14:04:57.322Z"
"schollz/croc","Go",372,209,"2026-08-19T14:04:57.322Z"
"go-gorm/gorm","Go",790,12,"2026-08-19T14:04:57.322Z"
"koalaman/shellcheck","Haskell",346,30,"2026-08-19T14:04:57.322Z"
"siddharthvaddem/openscreen","TypeScript",195,13,"2026-08-19T14:04:57.322Z"
"videojs/video.js","JavaScript",1829,336,"2026-08-19T14:04:57.322Z"
"llvm/llvm-project","LLVM",97096,159,"2026-08-19T14:04:57.322Z"
"2noise/ChatTTS","Python",223,7,"2026-08-19T14:04:57.322Z"
"vadimdemedes/ink","TypeScript",323,81,"2026-08-19T14:04:57.322Z"
"novuhq/novu","TypeScript",8439,144,"2026-08-19T14:04:57.322Z"
"mindsdb/mindshub","Makefile",5923,339,"2026-08-19T14:04:57.322Z"
"qbittorrent/qBittorrent","C++",4409,4,"2026-08-19T14:04:57.322Z"
"floodsung/Deep-Learning-Papers-Reading-Roadmap","Python",28,0,"2026-08-19T14:04:57.322Z"
"DeusData/codebase-memory-mcp","C",504,46,"2026-08-19T14:04:57.322Z"
"google/styleguide","HTML",201,0,"2026-08-19T14:04:57.322Z"
"lm-sys/FastChat","Python",852,14,"2026-08-19T14:04:57.322Z"
"halo-dev/halo","Java",3229,269,"2026-08-19T14:04:57.322Z"
"bojieli/ai-agent-book","Python",722,1,"2026-08-19T14:04:57.322Z"
"QuivrHQ/quivr","Python",1824,354,"2026-08-19T14:04:57.322Z"
"TeamNewPipe/NewPipe","Java",1888,147,"2026-08-19T14:04:57.322Z"
"pola-rs/polars","Rust",13678,265,"2026-08-19T14:04:57.322Z"
"AstrBotDevs/AstrBot","Python",1713,250,"2026-08-19T14:04:57.322Z"
"google/leveldb","C++",65,21,"2026-08-19T14:04:57.322Z"
"freeCodeCamp/devdocs","Ruby",1018,0,"2026-08-19T14:04:57.322Z"
"suno-ai/bark","Jupyter Notebook",19,0,"2026-08-19T14:04:57.322Z"
"ShareX/ShareX","C#",0,90,"2026-08-19T14:04:57.322Z"
"drawdb-io/drawdb","JavaScript",439,0,"2026-08-19T14:04:57.322Z"
"HKUDS/LightRAG","Python",1560,82,"2026-08-19T14:04:57.322Z"
"google/googletest","C++",833,12,"2026-08-19T14:04:57.322Z"
"wshobson/agents","Python",169,0,"2026-08-19T14:04:57.322Z"
"datalab-to/marker","Python",233,72,"2026-08-19T14:04:57.322Z"
"deepseek-ai/awesome-deepseek-integration","N/A",288,0,"2026-08-19T14:04:57.322Z"
"mattermost/mattermost","TypeScript",22317,1000,"2026-08-19T14:04:57.322Z"
"aseprite/aseprite","C++",551,130,"2026-08-19T14:04:57.322Z"
"rapid7/metasploit-framework","Ruby",12050,0,"2026-08-19T14:04:57.322Z"
"RSSNext/Folo","TypeScript",1517,113,"2026-08-19T14:04:57.322Z"
"preactjs/preact","JavaScript",2084,251,"2026-08-19T14:04:57.322Z"
"Dogfalo/materialize","JavaScript",449,41,"2026-08-19T14:04:57.322Z"
"YunaiV/ruoyi-vue-pro","Java",78,66,"2026-08-19T14:04:57.322Z"
"DioxusLabs/dioxus","Rust",2081,42,"2026-08-19T14:04:57.322Z"
"spacedriveapp/spacedrive","Rust",1968,28,"2026-08-19T14:04:57.322Z"
"lapce/lapce","Rust",1184,35,"2026-08-19T14:04:57.322Z"
"ajeetdsouza/zoxide","Rust",264,38,"2026-08-19T14:04:57.322Z"
"ant-design/ant-design-pro","TypeScript",1181,34,"2026-08-19T14:04:57.322Z"
"Yeachan-Heo/oh-my-claudecode","TypeScript",1670,244,"2026-08-19T14:04:57.322Z"
"bytedance/UI-TARS-desktop","TypeScript",1074,38,"2026-08-19T14:04:57.322Z"
"naptha/tesseract.js","JavaScript",205,57,"2026-08-19T14:04:57.322Z"
"gto76/python-cheatsheet","Python",0,1,"2026-08-19T14:04:57.322Z"
"google-research/google-research","Jupyter Notebook",34,0,"2026-08-19T14:04:57.322Z"
"chatchat-space/Langchain-Chatchat","Python",621,31,"2026-08-19T14:04:57.322Z"
"huiyadanli/RevokeMsgPatcher","C#",14,21,"2026-08-19T14:04:57.322Z"
"kilimchoi/engineering-blogs","Ruby",681,0,"2026-08-19T14:04:57.322Z"
"google/langextract","Python",121,18,"2026-08-19T14:04:57.322Z"
"httpie/cli","Python",406,47,"2026-08-19T14:04:57.322Z"
"dotnet/aspnetcore","C#",19836,296,"2026-08-19T14:04:57.322Z"
"istio/istio","Go",30578,450,"2026-08-19T14:04:57.322Z"
"portainer/portainer","TypeScript",4786,189,"2026-08-19T14:04:57.322Z"
"frappe/erpnext","Python",32160,1000,"2026-08-19T14:04:57.322Z"
"umami-software/umami","TypeScript",960,109,"2026-08-19T14:04:57.322Z"
"sqlmapproject/sqlmap","Python",185,11,"2026-08-19T14:04:57.322Z"
"PhilJay/MPAndroidChart","Java",191,44,"2026-08-19T14:04:57.322Z"
"impress/impress.js","JavaScript",125,15,"2026-08-19T14:04:57.322Z"
"huihut/interview","C++",36,0,"2026-08-19T14:04:57.322Z"
"ueberdosis/tiptap","TypeScript",1797,985,"2026-08-19T14:04:57.322Z"
"xyflow/xyflow","TypeScript",1600,384,"2026-08-19T14:04:57.322Z"
"docker/compose","Go",3968,284,"2026-08-19T14:04:57.322Z"
"harness/harness","Go",1060,59,"2026-08-19T14:04:57.322Z"
"github/awesome-copilot","Python",1256,0,"2026-08-19T14:04:57.322Z"
"hyprwm/Hyprland","C++",2929,117,"2026-08-19T14:04:57.322Z"
"vlang/v","V",13794,304,"2026-08-19T14:04:57.322Z"
"FreeCodeCampChina/freecodecamp.cn","CSS",55,0,"2026-08-19T14:04:57.322Z"
"PostHog/posthog","Python",54455,903,"2026-08-19T14:04:57.322Z"
"servo/servo","Rust",25746,13,"2026-08-19T14:04:57.322Z"
"anthropics/prompt-eng-interactive-tutorial","Jupyter Notebook",1,0,"2026-08-19T14:04:57.322Z"
"denysdovhan/wtfjs","JavaScript",127,25,"2026-08-19T14:04:57.322Z"
"TencentARC/GFPGAN","Python",14,8,"2026-08-19T14:04:57.322Z"
"Wei-Shaw/sub2api","Go",1448,38,"2026-08-19T14:04:57.322Z"
"NervJS/taro","TypeScript",3498,211,"2026-08-19T14:04:57.322Z"
"RVC-Project/Retrieval-based-Voice-Conversion-WebUI","Python",0,8,"2026-08-19T14:04:57.322Z"
"fengdu78/Coursera-ML-AndrewNg-Notes","HTML",14,0,"2026-08-19T14:04:57.322Z"
"shiyu-coder/Kronos","Python",19,0,"2026-08-19T14:04:57.322Z"
"karpathy/LLM101n","N/A",0,0,"2026-08-19T14:04:57.322Z"
"TriliumNext/Trilium","TypeScript",3188,353,"2026-08-19T14:04:57.322Z"
"aquasecurity/trivy","Go",3714,92,"2026-08-19T14:04:57.322Z"
"alibaba/arthas","Java",626,78,"2026-08-19T14:04:57.322Z"
"directus/directus","TypeScript",9179,372,"2026-08-19T14:04:57.322Z"
"alebcay/awesome-shell","N/A",307,0,"2026-08-19T14:04:57.322Z"
"PKUanonym/REKCARC-TSC-UHT","HTML",198,0,"2026-08-19T14:04:57.322Z"
"stanfordnlp/dspy","Python",1702,110,"2026-08-19T14:04:57.322Z"
"LAION-AI/Open-Assistant","Python",1616,127,"2026-08-19T14:04:57.322Z"
"exacity/deeplearningbook-chinese","TeX",16,7,"2026-08-19T14:04:57.322Z"
"pbatard/rufus","C",1,90,"2026-08-19T14:04:57.322Z"
"eugenp/tutorials","Java",13834,0,"2026-08-19T14:04:57.322Z"
"openai/gym","Python",1000,19,"2026-08-19T14:04:57.322Z"
"0voice/interview_internal_reference","Python",35,0,"2026-08-19T14:04:57.322Z"
"myshell-ai/OpenVoice","Python",18,0,"2026-08-19T14:04:57.322Z"
"SagerNet/sing-box","Go",210,584,"2026-08-19T14:04:57.322Z"
"IceWhaleTech/CasaOS","Go",275,97,"2026-08-19T14:04:57.322Z"
"huggingface/pytorch-image-models","Python",559,78,"2026-08-19T14:04:57.322Z"
"markedjs/marked","JavaScript",1740,179,"2026-08-19T14:04:57.322Z"
"lfnovo/open-notebook","TypeScript",460,42,"2026-08-19T14:04:57.322Z"
"satwikkansal/wtfpython","Python",113,2,"2026-08-19T14:04:57.322Z"
"patchy631/ai-engineering-hub","Jupyter Notebook",68,0,"2026-08-19T14:04:57.322Z"
"fastify/fastify","JavaScript",3448,323,"2026-08-19T14:04:57.322Z"
"mouredev/Hello-Python","Python",0,0,"2026-08-19T14:04:57.322Z"
"AobingJava/JavaFamily","N/A",2,0,"2026-08-19T14:04:57.322Z"
"Textualize/textual","Python",2311,223,"2026-08-19T14:04:57.322Z"
"babysor/MockingBird","Python",82,1,"2026-08-19T14:04:57.322Z"
"soxoj/maigret","Python",1066,29,"2026-08-19T14:04:57.322Z"
"CopilotKit/CopilotKit","TypeScript",3893,1000,"2026-08-19T14:04:57.322Z"
"shadowsocks/shadowsocks-android","Kotlin",258,186,"2026-08-19T14:04:57.322Z"
"musistudio/claude-code-router","TypeScript",76,22,"2026-08-19T14:04:57.322Z"
"Dokploy/dokploy","TypeScript",1680,170,"2026-08-19T14:04:57.322Z"
"ashishpatel26/500-AI-Agents-Projects","Python",17,0,"2026-08-19T14:04:57.322Z"
"veggiemonk/awesome-docker","N/A",1057,1,"2026-08-19T14:04:57.322Z"
"google-ai-edge/mediapipe","C++",201,67,"2026-08-19T14:04:57.322Z"
"ZuodaoTech/everyone-can-use-english","TypeScript",464,48,"2026-08-19T14:04:57.322Z"
"microsoft/Data-Science-For-Beginners","Jupyter Notebook",497,0,"2026-08-19T14:04:57.322Z"
"typeorm/typeorm","TypeScript",2669,45,"2026-08-19T14:04:57.322Z"
"date-fns/date-fns","TypeScript",1073,127,"2026-08-19T14:04:57.322Z"
"jaywcjlove/linux-command","Markdown",377,32,"2026-08-19T14:04:57.322Z"
"mpv-player/mpv","C",4136,89,"2026-08-19T14:04:57.322Z"
"1Panel-dev/1Panel","Go",5359,125,"2026-08-19T14:04:57.322Z"
"khoj-ai/khoj","Python",500,173,"2026-08-19T14:04:57.322Z"
"blader/humanizer","Python",25,4,"2026-08-19T14:04:57.322Z"
"inkonchain/docs","MDX",418,0,"2026-08-19T14:04:57.322Z"
"xinntao/Real-ESRGAN","Python",21,10,"2026-08-19T14:04:57.322Z"
"songquanpeng/one-api","JavaScript",287,55,"2026-08-19T14:04:57.322Z"
"inkonchain/node","Shell",40,6,"2026-08-19T14:04:57.322Z"
"hankcs/HanLP","Python",79,62,"2026-08-19T14:04:57.322Z"
"doocs/leetcode","Java",4704,21,"2026-08-19T14:04:57.322Z"
"nextcloud/server","PHP",34182,462,"2026-08-19T14:04:57.322Z"
"glanceapp/glance","Go",113,34,"2026-08-19T14:04:57.322Z"
"open-guides/og-aws","Shell",498,0,"2026-08-19T14:04:57.322Z"
"HKUDS/DeepTutor","Python",274,68,"2026-08-19T14:04:57.322Z"
"inkonchain/ink-kit","TypeScript",91,0,"2026-08-19T14:04:57.322Z"
"ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code","N/A",3,0,"2026-08-19T14:04:57.322Z"
"tinyhumansai/openhuman","Rust",3006,56,"2026-08-19T14:04:57.322Z"
"GorvGoyl/Clone-Wars","N/A",130,0,"2026-08-19T14:04:57.322Z"
"formulahendry/955.WLB","N/A",18,0,"2026-08-19T14:04:57.322Z"
"SheetJS/sheetjs","N/A",106,0,"2026-08-19T14:04:57.322Z"
"reworkd/AgentGPT","TypeScript",541,12,"2026-08-19T14:04:57.322Z"
"keycloak/keycloak","Java",21019,112,"2026-08-19T14:04:57.322Z"
"microsoft/playwright-mcp","TypeScript",540,69,"2026-08-19T14:04:57.322Z"
"ItzCrazyKns/Vane","TypeScript",87,34,"2026-08-19T14:04:57.322Z"
"PDFMathTranslate/PDFMathTranslate","Python",154,24,"2026-08-19T14:04:57.322Z"
"AdguardTeam/AdGuardHome","TypeScript",125,244,"2026-08-19T14:04:57.322Z"
"jax-ml/jax","Python",20706,140,"2026-08-19T14:04:57.322Z"
"firecracker-microvm/firecracker","Rust",3698,90,"2026-08-19T14:04:57.322Z"
"hashicorp/vault","Go",21334,182,"2026-08-19T14:04:57.322Z"
"pnpm/pnpm","Rust",4732,1000,"2026-08-19T14:04:57.322Z"
"geekxh/hello-algorithm","Java",26,0,"2026-08-19T14:04:57.322Z"
"carbon-app/carbon","JavaScript",669,215,"2026-08-19T14:04:57.322Z"
"lerna/lerna","TypeScript",1080,253,"2026-08-19T14:04:57.322Z"
"slatedocs/slate","N/A",298,28,"2026-08-19T14:04:57.322Z"
"Yuan1z0825/nature-skills","Python",136,0,"2026-08-19T14:04:57.322Z"
"zsh-users/zsh-autosuggestions","Shell",116,0,"2026-08-19T14:04:57.322Z"
"Crosstalk-Solutions/project-nomad","TypeScript",409,76,"2026-08-19T14:04:57.322Z"
"chatwoot/chatwoot","Ruby",6263,148,"2026-08-19T14:04:57.322Z"
"medusajs/medusa","TypeScript",9304,163,"2026-08-19T14:04:57.322Z"
"filebrowser/filebrowser","Go",847,157,"2026-08-19T14:04:57.322Z"
"wailsapp/wails","Go",2121,355,"2026-08-19T14:04:57.322Z"
"solidjs/solid","TypeScript",457,37,"2026-08-19T14:04:57.322Z"
"OpenBMB/VoxCPM","Python",25,14,"2026-08-19T14:04:57.322Z"
"XingangPan/DragGAN","Python",18,0,"2026-08-19T14:04:57.322Z"
"junegunn/vim-plug","Vim Script",181,8,"2026-08-19T14:04:57.322Z"
"searxng/searxng","Python",3145,0,"2026-08-19T14:04:57.322Z"
"alan2207/bulletproof-react","TypeScript",75,0,"2026-08-19T14:04:57.322Z"
"airbnb/lottie-android","Java",720,63,"2026-08-19T14:04:57.322Z"
"jondot/awesome-react-native","JavaScript",912,0,"2026-08-19T14:04:57.322Z"
"koajs/koa","JavaScript",554,18,"2026-08-19T14:04:57.322Z"
"opentofu/manifesto","HTML",765,0,"2026-08-19T14:04:57.322Z"
"permissionlesstech/bitchat","Swift",508,20,"2026-08-19T14:04:57.322Z"
"gchq/CyberChef","JavaScript",796,458,"2026-08-19T14:04:57.322Z"
"restic/restic","Go",2442,51,"2026-08-19T14:04:57.322Z"
"microsoft/graphrag","Python",755,41,"2026-08-19T14:04:57.322Z"
"ryanhanwu/How-To-Ask-Questions-The-Smart-Way","JavaScript",98,0,"2026-08-19T14:04:57.322Z"
"continuedev/continue","TypeScript",4078,827,"2026-08-19T14:04:57.322Z"
"refinedev/refine","TypeScript",4697,1000,"2026-08-19T14:04:57.322Z"
"drizzle-team/drizzle-orm","TypeScript",713,182,"2026-08-19T14:04:57.322Z"
"jqlang/jq","C",709,16,"2026-08-19T14:04:57.322Z"
"alvarotrigo/fullPage.js","JavaScript",327,109,"2026-08-19T14:04:57.322Z"
"casey/just","Rust",1794,146,"2026-08-19T14:04:57.322Z"
"tailscale/tailscale","Go",8706,159,"2026-08-19T14:04:57.322Z"
"kuchin/awesome-cto","N/A",18,0,"2026-08-19T14:04:57.322Z"
"nativefier/nativefier","TypeScript",261,99,"2026-08-19T14:04:57.322Z"
"typicode/husky","JavaScript",263,80,"2026-08-19T14:04:57.322Z"
"geekcomputers/Python","Python",2034,0,"2026-08-19T14:04:57.322Z"
"VectifyAI/PageIndex","Python",90,9,"2026-08-19T14:04:57.322Z"
"sahat/hackathon-starter","JavaScript",608,18,"2026-08-19T14:04:57.322Z"
"blakeblackshear/frigate","TypeScript",4168,81,"2026-08-19T14:04:57.322Z"
"fxsjy/jieba","Python",96,9,"2026-08-19T14:04:57.322Z"
"geekan/HowToLiveLonger","N/A",14,0,"2026-08-19T14:04:57.322Z"
"DayuanJiang/next-ai-draw-io","TypeScript",443,18,"2026-08-19T14:04:57.322Z"
"utmapp/UTM","Swift",292,130,"2026-08-19T14:04:57.322Z"
"netty/netty","Java",5762,13,"2026-08-19T14:04:57.322Z"
"hehonghui/awesome-english-ebooks","CSS",0,0,"2026-08-19T14:04:57.322Z"
"unknwon/the-way-to-go_ZH_CN","Go",592,0,"2026-08-19T14:04:57.322Z"
"bumptech/glide","Java",640,59,"2026-08-19T14:04:57.322Z"
"sorrycc/awesome-javascript","N/A",413,0,"2026-08-19T14:04:57.322Z"
"zellij-org/zellij","Rust",1523,69,"2026-08-19T14:04:57.322Z"
"awesome-foss/awesome-sysadmin","N/A",369,0,"2026-08-19T14:04:57.322Z"
"laravel/framework","PHP",18486,966,"2026-08-19T14:04:57.322Z"
"gitroomhq/postiz-app","TypeScript",299,199,"2026-08-19T14:04:57.322Z"
"esengine/DeepSeek-Reasonix","Go",3361,189,"2026-08-19T14:04:57.322Z"
"facebookresearch/detectron2","Python",0,10,"2026-08-19T14:04:57.322Z"
"qishibo/AnotherRedisDesktopManager","JavaScript",161,55,"2026-08-19T14:04:57.322Z"
"TheAlgorithms/C-Plus-Plus","C++",705,0,"2026-08-19T14:04:57.322Z"
"BVLC/caffe","C++",1087,14,"2026-08-19T14:04:57.322Z"
"lissy93/web-check","TypeScript",74,3,"2026-08-19T14:04:57.322Z"
"ocrmypdf/OCRmyPDF","Python",202,62,"2026-08-19T14:04:57.322Z"
"v2fly/v2ray-core","Go",1037,130,"2026-08-19T14:04:57.322Z"
"kovidgoyal/kitty","Python",1492,143,"2026-08-19T14:04:57.322Z"
"nothings/stb","C",294,0,"2026-08-19T14:04:57.322Z"
"anthropics/financial-services","Python",40,0,"2026-08-19T14:04:57.322Z"
"raysan5/raylib","C",2658,25,"2026-08-19T14:04:57.322Z"
"derailed/k9s","Go",1066,258,"2026-08-19T14:04:57.322Z"
"SeleniumHQ/selenium","Java",4160,120,"2026-08-19T14:04:57.322Z"
"CMU-Perceptual-Computing-Lab/openpose","C++",174,15,"2026-08-19T14:04:57.322Z"
"huggingface/diffusers","Python",6028,92,"2026-08-19T14:04:57.322Z"
"xitu/gold-miner","N/A",3563,0,"2026-08-19T14:04:57.322Z"
"jaredpalmer/formik","TypeScript",836,200,"2026-08-19T14:04:57.322Z"
"nodejs/node-v0.x-archive","N/A",218,0,"2026-08-19T14:04:57.322Z"
"python-poetry/poetry","Python",2542,151,"2026-08-19T14:04:57.322Z"
"TheAlgorithms/JavaScript","JavaScript",798,0,"2026-08-19T14:04:57.322Z"
"openai/CLIP","Jupyter Notebook",30,0,"2026-08-19T14:04:57.322Z"
"balena-io/etcher","TypeScript",1733,291,"2026-08-19T14:04:57.322Z"
"backstage/backstage","TypeScript",21591,542,"2026-08-19T14:04:57.322Z"
"swc-project/swc","Rust",6168,818,"2026-08-19T14:04:57.322Z"
"ehang-io/nps","Go",74,59,"2026-08-19T14:04:57.322Z"
"seaweedfs/seaweedfs","Go",5298,316,"2026-08-19T14:04:57.322Z"
"zenorocha/clipboard.js","JavaScript",117,42,"2026-08-19T14:04:57.322Z"
"lightpanda-io/browser","Zig",2477,20,"2026-08-19T14:04:57.322Z"
"testerSunshine/12306","Python",31,1,"2026-08-19T14:04:57.322Z"
"aristocratos/btop","C++",454,55,"2026-08-19T14:04:57.322Z"
"xkcoding/spring-boot-demo","Java",15,0,"2026-08-19T14:04:57.322Z"
"lllyasviel/ControlNet","Python",5,0,"2026-08-19T14:04:57.322Z"
"zxing/zxing","Java",387,32,"2026-08-19T14:04:57.322Z"
"agentscope-ai/QwenPaw","Python",2212,107,"2026-08-19T14:04:57.322Z"
"qdrant/qdrant","Rust",6654,116,"2026-08-19T14:04:57.322Z"
"OpenBMB/ChatDev","Python",161,12,"2026-08-19T14:04:57.322Z"
"fish-shell/fish-shell","Rust",2212,67,"2026-08-19T14:04:57.322Z"
"chenfei-wu/TaskMatrix","Python",21,0,"2026-08-19T14:04:57.322Z"
"MonitorControl/MonitorControl","Swift",223,26,"2026-08-19T14:04:57.322Z"
"atlassian/react-beautiful-dnd","JavaScript",531,68,"2026-08-19T14:04:57.322Z"
"NginxProxyManager/nginx-proxy-manager","TypeScript",740,88,"2026-08-19T14:04:57.322Z"
"pcottle/learnGitBranching","JavaScript",693,0,"2026-08-19T14:04:57.322Z"
"K-Dense-AI/scientific-agent-skills","Python",77,101,"2026-08-19T14:04:57.322Z"
"lib-pku/libpku","TeX",22,0,"2026-08-19T14:04:57.322Z"
"carbon-language/carbon-lang","C++",5669,765,"2026-08-19T14:04:57.322Z"
"explosion/spaCy","Python",3603,137,"2026-08-19T14:04:57.322Z"
"TabbyML/tabby","Rust",3002,249,"2026-08-19T14:04:57.322Z"
"halfrost/LeetCode-Go","Go",182,5,"2026-08-19T14:04:57.322Z"
"k3s-io/k3s","Go",4865,1000,"2026-08-19T14:04:57.322Z"
"SerenityOS/serenity","C++",20156,0,"2026-08-19T14:04:57.322Z"
"mli/paper-reading","N/A",15,0,"2026-08-19T14:04:57.322Z"
"Pythagora-io/gpt-pilot","Python",397,0,"2026-08-19T14:04:57.322Z"
"anthropics/claude-plugins-official","Python",3211,0,"2026-08-19T14:04:57.322Z"
"alibaba/easyexcel","Java",190,14,"2026-08-19T14:04:57.322Z"
"anoma/anoma","Elixir",898,12,"2026-08-19T14:04:57.322Z"
"valinet/ExplorerPatcher","C",24,300,"2026-08-19T14:04:57.322Z"
"Blankj/AndroidUtilCode","Java",88,117,"2026-08-19T14:04:57.322Z"
"bayandin/awesome-awesomeness","Ruby",197,0,"2026-08-19T14:04:57.322Z"
"binwiederhier/ntfy","Go",421,108,"2026-08-19T14:04:57.322Z"
"shadowsocks/shadowsocks","Python",70,2,"2026-08-19T14:04:57.322Z"
"apache/kafka","Java",13857,0,"2026-08-19T14:04:57.322Z"
"tinygrad/tinygrad","Python",12344,15,"2026-08-19T14:04:57.322Z"
"XX-net/XX-Net","Python",364,390,"2026-08-19T14:04:57.322Z"
"microsoft/WSL","C++",1429,108,"2026-08-19T14:04:57.322Z"
"AFNetworking/AFNetworking","Objective-C",710,40,"2026-08-19T14:04:57.322Z"
"langfuse/langfuse","TypeScript",7574,656,"2026-08-19T14:04:57.322Z"
"nicolargo/glances","Python",829,61,"2026-08-19T14:04:57.322Z"
"lutzroeder/netron","JavaScript",1,9,"2026-08-19T14:04:57.322Z"
"MetaCubeX/mihomo","Python",323,62,"2026-08-19T14:04:57.322Z"
"mckaywrigley/chatbot-ui","TypeScript",281,0,"2026-08-19T14:04:57.322Z"
"google/comprehensive-rust","Rust",2512,0,"2026-08-19T14:04:57.322Z"
"remix-run/remix","TypeScript",4038,639,"2026-08-19T14:04:57.322Z"
"motiondivision/motion","TypeScript",1284,0,"2026-08-19T14:04:57.322Z"
"alibaba/nacos","Java",3891,98,"2026-08-19T14:04:57.322Z"
"zeromicro/go-zero","Go",2511,154,"2026-08-19T14:04:57.322Z"
"dgtlmoon/changedetection.io","Python",1171,216,"2026-08-19T14:04:57.322Z"
"waydabber/BetterDisplay","N/A",2,133,"2026-08-19T14:04:57.322Z"
"certbot/certbot","Python",4131,72,"2026-08-19T14:04:57.322Z"
"bilibili/ijkplayer","C",35,0,"2026-08-19T14:04:57.322Z"
"linshenkx/prompt-optimizer","TypeScript",60,47,"2026-08-19T14:04:57.322Z"
"qier222/YesPlayMusic","Vue",297,32,"2026-08-19T14:04:57.322Z"
"vbenjs/vue-vben-admin","Vue",1919,63,"2026-08-19T14:04:57.322Z"
"cursor/cursor","N/A",49,0,"2026-08-19T14:04:57.322Z"
"pear-devs/pear-desktop","TypeScript",1659,88,"2026-08-19T14:04:57.322Z"
"Leey21/awesome-ai-research-writing","N/A",0,0,"2026-08-19T14:04:57.322Z"
"datawhalechina/happy-llm","Jupyter Notebook",30,3,"2026-08-19T14:04:57.322Z"
"immutable-js/immutable-js","TypeScript",682,100,"2026-08-19T14:04:57.322Z"
"binarywang/WxJava","Java",1274,31,"2026-08-19T14:04:57.322Z"
"ibraheemdev/modern-unix","N/A",15,0,"2026-08-19T14:04:57.322Z"
"adobe/brackets","JavaScript",4332,69,"2026-08-19T14:04:57.322Z"
"tokio-rs/tokio","Rust",4008,154,"2026-08-19T14:04:57.322Z"
"gulpjs/gulp","JavaScript",412,24,"2026-08-19T14:04:57.322Z"
"FreeCAD/FreeCAD","C++",14481,115,"2026-08-19T14:04:57.322Z"
"0xAX/linux-insides","Python",650,0,"2026-08-19T14:04:57.322Z"
